agregat,indicateur,niveaux,lignes,charge,chemin,definition_ofgl,formule_ofgl
Achats et charges externes,ofgl_achats_et_charges_externes,"commune,epci,departement,region",291668,oui,Dépenses totales > Dépenses de fonctionnement >,"Les achats et charges externes constituent un sous-poste des dépenses de fonctionnement. Ils comprennent l'achats de petits matériels, de matières premières, de prestations de services, mais aussi les loyers, primes d'assurance, frais d'entretien et de communication...",DN60 (achats et variation des stocks) + DN61 (services extérieurs) + DN62 (autres services extérieurs) - DN621 (personnel extérieur au service)
Allocations APA,ofgl_allocations_apa,"departement,region",1408,oui,Dépenses totales > Dépenses de fonctionnement > Dépenses d'intervention >,Les allocations APA (allocation personnalisée d'autonomie) constituent un sous-poste des dépenses d'intervention. Elles correspondent aux montants versés au titre de l'allocation pour personnes âgées dépendantes.,DN65114 (personnes dépendantes)
Allocations PCH,ofgl_allocations_pch,"departement,region",1412,oui,Dépenses totales > Dépenses de fonctionnement > Dépenses d'intervention >,Les allocations PCH (prestation de compensation du handicap) constituent un sous-poste des dépenses d'intervention. Elles correspondent aux montants versés au titre de l'allocation pour personnes handicapées.,DN651121 (prestation de compensation du handicap) + DN651122 (allocation compensatrice tierce personne)
Allocations RSA,ofgl_allocations_rsa,"departement,region",1385,oui,Dépenses totales > Dépenses de fonctionnement > Dépenses d'intervention >,Les allocations RSA (revenu de solidarité active) constituent un sous-poste des dépenses d'intervention. Elles correspondent aux montants versés au titre du revenu de solidarité active.,DN6515 (allocations rmi (versement aux organismes payeurs)) + DN6517 (allocations rsa (versements aux organismes payeurs))
Annuité de la dette,ofgl_annuite_de_la_dette,"commune,epci,departement,region",291668,oui,,L'annuité de la dette correspond au remboursement du capital de la dette et aux charges financières y afférant.,Flux croisés sur : Remboursements d'emprunts hors GAD (gestion active de la dette) + Charges financières
Attribution fonds de péreq. DMTO,ofgl_attribution_fonds_de_pereq_dmto,"departement,region",1300,oui,Recettes totales > Recettes de fonctionnement > Impôts et taxes > Autres impôts et taxes >,"Les attributions au titre des fonds de péréquation fondés sur les DMTO regroupent le produit du fonds national de péréquation des DMTO, du fonds de solidarité des départements et du fonds de soutien interdépartemental (FSID) qui ont fusionné au 1er janvier 2020.",CN73225 (attributions au titre des fonds de péréquation fondés sur les dmto)
Autres dotations de fonctionnement,ofgl_autres_dotations_de_fonctionnement,"commune,epci,departement,region",271566,oui,Recettes totales > Recettes de fonctionnement > Concours de l'Etat >,"Les autres dotations de fonctionnement constituent un sous-poste des concours de l'Etat. Elles correspondent aux dotation de l'Etat au fonctionnement des collectivités locales, hors DGF (dotation globale de fonctionnement).",CN742 (dotations aux élus locaux) + CN744 (fctva) + CN745 (dotation spéciale au titre des instituteurs) + CN746 (dotation générale de décentralisation)
Autres dotations et subventions,ofgl_autres_dotations_et_subventions,"commune,epci,departement,region",291668,oui,Recettes totales > Recettes d'investissement > Recettes d'investissement hors emprunts >,Les autres dotations et subventions constituent un sous-poste des recettes d'investissement hors emprunts. Elles comprennent notamment les subventions reçues de tiers pour contribuer au financement d'investissements de la collectivité.,C102 (apports) + C13 (subventions d'investissement) - C10222 (fctva) - C139 (subventions d'investissement inscrites au compte de résultat)
Autres dépenses d'investissement,ofgl_autres_depenses_d_investissement,"commune,epci,departement,region",291668,oui,Dépenses totales > Dépenses d'investissement > Dépenses d'investissement hors remb >,"Les autres dépenses d'investissement constituent le solde des dépenses réelles d'investissement hors emprunts. Elles enregistrent les dépenses d'investissement qui ne correspondent pas à des remboursements d'emprunts, des dépenses d'équipement ou des subventions d'équipement versées. Elles peuvent enregistrer les dépenses liées à des opérations sur des immobilisations financières ou sur des opérations pour compte de tiers.",Dépenses d'investissement hors remb (remboursements d'emprunts) - Dépenses d'équipement - Subventions d'équipement versées
Autres dépenses de fonctionnement,ofgl_autres_depenses_de_fonctionnement,"commune,epci,departement,region",291668,oui,Dépenses totales > Dépenses de fonctionnement >,"Les autres dépenses de fonctionnement constituent le solde des dépenses de fonctionnement. Elles enregistrent les dépenses réelles de fonctionnement qui ne correspondent pas à des achats et charges externes, des frais de personnel, des dépenses d'intervention ou des charges financières. Elles comprennent essentiellement des opérations exceptionnelles.",Dépenses de fonctionnement - Achats et charges externes - Frais de personnel - Dépenses d'intervention - Charges financières
Autres impôts et taxes,ofgl_autres_impots_et_taxes,"commune,epci,departement,region",270350,oui,Recettes totales > Recettes de fonctionnement > Impôts et taxes >,"Les autres impôts et taxes constituent un sous-poste des impôts et taxes. Ils correspondent aux produits fiscaux autres que ceux de la fiscalité directe locale,  diminués des éventuels reversements effectués par la collectivité au titre de ces autres impôts et taxes mais augmentés des reversements fiscaux perçus par la collectivité toujours sur ces autres impôts et taxes.",CN735 (taxes sur l'électricité)
Autres recettes d'investissement,ofgl_autres_recettes_d_investissement,"commune,epci,departement,region",291668,oui,Recettes totales > Recettes d'investissement > Recettes d'investissement hors emprunts >,"Les autres recettes d'investissement constituent le solde des recettes réelles d'investissement hors emprunts. Elles enregistrent les recettes d'investissement qui ne correspondent pas à des emprunts, du FCTVA ou des dotations et subventions reçues. Elles peuvent comprendre le produit d'opérations sur des immobilisations financières ou sur des opérations pour compte de tiers.",Recettes d'investissement hors emprunts - FCTVA - Autres dotations et subventions
Autres recettes de fonctionnement,ofgl_autres_recettes_de_fonctionnement,"commune,epci,departement,region",291668,oui,Recettes totales > Recettes de fonctionnement >,"Les autres recettes de fonctionnement constituent le solde des recettes réelles de fonctionnement. Elles enregistrent les recettes de fonctionnement qui ne correspondent pas à des impôts et taxes, des concours de l'Etat ou des subventions et participations reçues. Elles comprennent essentiellement des opérations exceptionnelles (hors cessions d'immobilisations).",DN661133 (à la collectivité ou à l'établissement de rattachement) + DN672 (reversement de l'excédent à la collectivité de rattachement)
CNSA,ofgl_cnsa,"departement,region",1411,oui,Recettes totales > Recettes de fonctionnement > Subventions reçues et participations >,Les contributions de la CNSA (caisse nationale de solidarité pour l'autonomie) constituent un sous-poste des subventions reçues et participations. La CNSA contribue au financement des politiques sociales d'aide à l'autonomie des personnes âgées et handicapées.,CN74781 (dotations versées par la cnsa)
CVAE,ofgl_cvae,"departement,region",1294,oui,Recettes totales > Recettes de fonctionnement > Impôts et taxes > Impôts locaux >,La CVAE (contribution sur la valeur ajoutée des entreprises) constitue un sous-poste des impôts locaux. Elle correspond au montant perçu par la collectivité avant éventuels reversements sous forme d'attribution de compensation ou dans le cadre de mécanismes de péréquation.,CN73112 (cotisation sur la valeur ajoutée des entreprises)
Capacité ou besoin de financement,ofgl_capacite_ou_besoin_de_financement,"commune,epci,departement,region",291668,oui,,"La capacité de financement / besoin de financement correspond à la différence entre les recettes et les dépenses totales de l'année hors mouvements sur la dette. Quand ces recettes sont supérieures à ces dépenses, on parle de capacité de financement. Dans le cas inverse, on parle de besoin de financement.",Recettes totales hors emprunts - Dépenses totales hors remb (remboursements d'emprunts)
Cartes grises,ofgl_cartes_grises,region,274,oui,Recettes totales > Recettes de fonctionnement > Impôts et taxes > Autres impôts et taxes >,Le produit des cartes grises constitue un sous-poste des autres impôts et taxes.,CN73153 (taxe sur les certificats d'immatriculation des véhicules)
